Date,mag,lon,lat,depth
11/9/1990,4.9,86.1341,30.8494,14.8
11/9/1990,4.8,86.2716,30.843,26
11/9/1990,4.7,86.2327,30.7259,26
12/20/1990,5,82.9714,28.1811,35
3/15/1991,4.7,87.561,28.3608,35
5/1/1991,4.1,82.2662,29.4379,21.4
5/18/1991,4.6,80.1148,31.6173,8.4
5/18/1991,4.6,80.077,31.539,35
5/20/1991,4.7,86.7712,31.0773,19.7
5/23/1991,4.5,86.7091,31.3459,12.2
5/26/1991,4.5,80.3523,29.4937,19
5/27/1991,4.7,80.3561,29.6947,27.8
6/1/1991,4.3,81.7161,28.8508,19
6/10/1991,4.5,80.3342,29.3489,35
6/15/1991,4.4,86.3796,31.1563,35
7/25/1991,3.9,85.39,31.627,35
12/9/1991,5.7,81.6044,29.5033,13.7
12/21/1991,5,87.97,27.8498,40.9
1/28/1992,4.3,81.6138,29.2742,10
1/30/1992,4.6,81.1045,29.301,17
3/24/1992,4.8,81.6125,31.6362,18.3
4/1/1992,4.6,86.9583,27.413,35
4/1/1992,4.4,83.7042,31.8321,35
4/4/1992,5.1,87.9235,28.1278,31.4
6/2/1992,5.2,81.897,28.9029,53.5
6/13/1992,4.7,82.8579,28.8371,35
8/9/1992,4.5,86.5067,28.6469,57
10/22/1992,4.3,80.6133,29.0299,10
11/26/1992,4.7,83.6975,31.5804,24.5
1/2/1993,4.9,81.0849,29.1628,12.6
1/8/1993,4.1,81.3196,29.0228,10
1/12/1993,4.8,80.3965,31.2376,16.9
1/13/1993,3.8,86.5346,28.4756,57
3/20/1993,5.8,87.4743,28.9776,15.1
3/20/1993,5,87.4514,28.9857,15.4
3/21/1993,4.5,87.58,29.0442,10
3/25/1993,4.6,80.5193,29.6851,19
3/31/1993,5.1,87.4065,29.0536,12.5
4/12/1993,4.4,82.8591,28.3782,35
7/3/1993,4.7,86.811,28.523,34
7/5/1993,4.8,85.0903,27.9816,14.4
7/5/1993,4,85.0735,27.9694,18.9
7/6/1993,4.8,82.3155,31.9242,25.7
7/14/1993,4.3,81.711,31.6917,35
7/17/1993,4.4,81.7809,31.8989,35
8/19/1993,4.5,80.135,30.2122,25.7
9/5/1993,4.6,87.2089,27.4252,29
9/12/1993,4.3,83.5861,30.8337,11
9/13/1993,4.6,83.669,30.835,10.6
9/16/1993,4.3,83.6881,30.8556,11
10/20/1993,5.2,82.2347,28.775,25.3
10/20/1993,5,82.237,28.7472,35
11/14/1993,4.7,80.1242,30.2028,16
12/14/1993,4.7,86.6976,28.2728,57
12/30/1993,4,87.5209,27.1909,21
1/31/1994,4.7,81.7733,29.4313,27
5/10/1994,4.3,83.9578,29.2471,35
5/25/1994,4.7,87.9305,27.7546,20
6/25/1994,4.3,85.9597,27.6164,19
7/4/1994,3.9,86.4776,30.7879,26
7/17/1994,5,81.402,29.2285,22.9
7/23/1994,5.1,86.5882,31.0055,8.2
7/31/1994,4.8,80.2025,31.669,10.9
8/1/1994,4.5,80.2109,31.8601,35
9/25/1994,4.1,87.174,27.9997,50
12/12/1994,4.5,80.5992,29.5864,19
1/1/1995,4.5,87.7283,27.9169,68
1/12/1995,4.2,88.1234,30.0656,37
1/19/1995,4.3,83.3714,28.3611,10.4
1/27/1995,4.1,81.3761,28.7786,51.1
1/29/1995,4.2,86.0787,26.633,56.9
1/30/1995,4,82.0467,29.0789,40
2/2/1995,4.4,88.0137,30.0924,37
2/4/1995,4.2,81.7351,30.9113,35
2/18/1995,4.2,85.7755,27.8391,14.9
3/16/1995,4.3,88.0822,30.021,37
3/16/1995,4.2,88.0442,30.1458,37
3/24/1995,4.3,87.2101,28.3366,105
3/29/1995,4.7,86.4566,28.4257,35
4/14/1995,4.2,87.9633,29.9423,37
4/17/1995,4.8,81.5201,29.5473,23.1
4/17/1995,4.7,81.4953,29.5753,21.3
4/18/1995,4.1,88.1348,30.2375,37
4/20/1995,4,88.0622,30.3579,41
6/28/1995,4.5,86.6336,30.915,10.9
7/28/1995,4.4,86.3485,30.7884,26
8/3/1995,4.5,81.5939,29.8808,38.9
8/7/1995,4.2,81.6048,29.7971,33
8/8/1995,4.2,81.7261,30.0854,33
9/30/1995,4.1,86.075,30.3302,35
10/4/1995,4.4,84.2861,28.1963,35
10/27/1995,4.4,83.5178,28.6508,31.2
11/25/1995,4.7,86.696,30.862,19.5
11/26/1995,4.3,86.7169,31.0303,26
12/11/1995,4,87.9684,28.5441,35
12/24/1995,4.1,86.1468,27.4742,17.2
1/11/1996,3.9,86.2949,28.7203,48.4
1/25/1996,4.4,86.8457,28.4938,34
2/7/1996,4.2,80.4923,29.6602,42.7
2/12/1996,4.2,87.9657,28.147,71
2/18/1996,4.1,84.0024,29.9438,42.3
3/12/1996,4.9,88.17,30.0368,13.7
3/13/1996,4.1,88.0413,30.0322,37
3/21/1996,3.9,88.1166,30.3431,37
3/27/1996,3.8,88.0941,29.9986,37
4/14/1996,3.8,83.8606,30.1188,35
4/26/1996,5.1,87.7573,27.823,17.6
5/10/1996,4.8,88.1127,29.9367,10.1
5/10/1996,4.4,88.1043,30.053,37
5/10/1996,4,87.9806,30.0367,37
5/11/1996,4.8,88.0987,29.9603,12.2
5/11/1996,4.2,88.0595,30.1963,37
5/11/1996,4.2,88.1323,30.108,37
5/13/1996,3.7,88.0836,30.0475,37
5/14/1996,4.1,87.9791,29.9656,37
5/14/1996,3.7,84.7352,29.5638,35
5/17/1996,4.3,88.0927,29.9395,37
5/17/1996,4.3,88.1183,30.1682,37
5/20/1996,3.6,87.7688,30.7829,35
5/21/1996,3.9,85.2959,31.5858,35
6/18/1996,4,86.9857,30.3045,35
7/3/1996,5,88.1958,30.0808,23.6
7/3/1996,4.3,88.1939,30.0835,38
7/3/1996,4,87.7557,30.1014,37
7/3/1996,3.7,88.1713,30.3771,37
7/4/1996,5,88.131,30.0676,22.8
7/4/1996,4.2,88.1031,30.2513,37
7/5/1996,4.2,87.9625,29.9809,37
7/8/1996,4,88.1976,30.3927,37
7/8/1996,4,88.1576,30.2119,37
7/10/1996,4.1,81.5216,29.1138,33
7/12/1996,4.3,88.0776,30.0604,37
7/12/1996,4.1,88.0528,30.1317,37
7/12/1996,3.9,88.0352,29.7149,37
7/12/1996,3.8,88.0031,30.0252,37
7/13/1996,4.3,88.0441,30.081,37
7/13/1996,4.2,88.0598,30.118,37
