Date,Magnitude,Longitude,Latitude,Depth
10/15/1991 19:11,4.5,79.2378,30.5276,17
10/19/1991 21:23,6.6,78.7907,30.756,16.1
10/27/1991 0:40,4.2,78.7747,30.6402,35
12/12/1991 18:54,4.5,79.7349,34.5435,10
1/26/1992 23:48,4.6,76.4172,32.354,14
2/5/1992 2:07,4.3,78.7731,34.2681,35
2/13/1992 22:43,4.6,76.5094,32.7076,15
3/14/1992 12:40,4.8,78.9384,30.4946,34.4
4/22/1992 6:08,4.6,78.2358,30.9197,10
6/12/1992 11:45,4.8,78.7257,30.6985,35
8/9/1992 15:16,3.9,78.4727,30.8733,10
8/21/1992 11:12,4.7,80.1449,34.6798,27
8/24/1992 9:49,4.9,80.1513,34.6369,28.5
8/26/1992 2:30,4.2,80.1424,34.6732,28
9/3/1992 0:58,4.8,80.0316,34.5973,25.4
9/6/1992 14:10,4.5,76.3682,32.5339,14
9/16/1992 18:25,4.2,79.4337,34.3051,35
11/6/1992 11:47,4.6,80.0601,34.4062,28
1/15/1993 8:41,4,80.0917,34.567,28
8/15/1993 3:19,4.2,78.9,30.6876,24
8/19/1993 3:49,4.5,80.135,30.2122,25.7
11/14/1993 13:20,4.7,80.1242,30.2028,16
12/3/1993 9:48,4.2,76.7154,28.9863,11
3/29/1994 0:25,4,79.386,30.5275,17
7/2/1994 20:34,3.9,76.3342,32.7323,15
7/10/1994 8:16,4.3,78.3628,31.6647,35
8/20/1994 21:11,4.5,76.1581,33.3931,31
12/8/1994 13:01,4.8,79.5028,30.5836,17
3/24/1995 11:52,4.8,76.3466,32.5348,27.4
6/12/1995 11:30,4.1,79.8925,31.4409,35
6/17/1995 10:06,4.6,76.239,34.2647,24.4
7/15/1995 6:39,4.1,79.0765,29.9186,35
8/17/1995 17:47,4.2,76.3926,33.8036,25
9/5/1995 7:44,4.2,77.5992,30.9988,28
11/15/1995 21:44,4.1,76.6758,28.8761,11
11/26/1995 20:21,4.2,78.4082,31.9264,12
11/27/1995 21:44,4.6,79.2689,30.429,24
12/10/1995 1:56,4,79.9741,31.4776,35
12/10/1995 14:44,4,80.1161,34.7489,28
1/23/1996 17:34,4.4,79.3921,30.3831,27.7
2/17/1996 19:10,4,80.1877,34.4883,35
2/29/1996 9:01,3.8,77.6906,34.717,35
3/26/1996 8:30,4.8,79.1393,30.457,27.2
5/9/1996 8:25,4.2,76.3272,32.7973,15
5/16/1996 17:18,3.9,76.3495,32.9399,45.6
5/23/1996 23:51,4.3,76.4236,32.8124,15
6/18/1996 2:46,4.5,79.2312,30.4968,17
7/14/1996 0:40,4.1,76.4259,32.5461,14
7/17/1996 6:56,4.4,78.5117,31.368,13.6
8/3/1996 13:33,3.9,78.8479,30.8314,35
9/14/1996 0:22,4.5,76.3634,32.8145,15
9/14/1996 2:12,4.2,78.3233,30.6785,10
9/25/1996 7:12,4.5,78.6258,30.5114,28
10/1/1996 11:24,4,78.2532,30.9754,10
10/3/1996 21:09,3.8,78.3645,31.1171,10
10/9/1996 21:45,4,78.1545,30.8166,10
10/11/1996 0:05,4.2,76.4592,33.5173,30.6
11/12/1996 4:20,4,77.2409,29.8555,35
11/19/1996 11:16,4,78.274,35.195,35
11/20/1996 12:30,4,77.4091,35.1237,21
11/23/1996 23:21,3.8,77.9751,35.0912,35
11/24/1996 13:24,3.7,78.7132,34.6486,35
11/29/1996 11:39,3.9,78.2503,35.14,35
11/29/1996 21:41,3.9,78.4044,34.9486,35
11/30/1996 21:04,3.9,77.9154,34.9713,35
12/1/1996 21:32,3.7,78.2051,34.0939,35
12/8/1996 19:41,3.9,78.4605,35.1502,35
12/14/1996 18:34,4.2,77.8217,35.1781,54
12/16/1996 17:59,3.6,76.0235,33.2846,28
12/16/1996 18:36,4.1,78.1527,34.9491,35
1/2/1997 3:52,3.9,78.0283,31.1744,35
1/19/1997 14:38,3.8,76.3554,32.7337,72.2
1/20/1997 18:57,3.9,77.7486,35.0237,35
1/25/1997 7:43,3.7,77.1346,35.1949,50
2/1/1997 5:13,3.8,78.6713,34.7028,35
4/15/1997 5:51,3.9,77.7831,35.1885,10
4/19/1997 2:54,4,79.4095,33.5985,35
5/4/1997 7:19,3.8,76.6242,28.9242,11
5/11/1997 15:11,3.6,77.424,34.9401,21
5/27/1997 1:27,4.4,77.7752,34.1088,35
6/3/1997 6:50,4,77.9793,35.118,35
6/29/1997 20:11,4.3,78.5965,30.2695,35
7/29/1997 18:00,4.5,76.8398,31.4836,33.2
8/13/1997 23:10,3.9,76.9222,31.3901,35
9/21/1997 15:21,3.6,78.5657,31.7681,12
9/21/1997 15:31,3.7,78.4411,31.7922,12
11/9/1997 1:56,3.8,76.2477,32.5831,14
1/29/1998 10:58,3.6,76.1957,32.8089,28
3/19/1998 17:01,3.7,77.9252,30.9733,10
3/19/1998 23:34,3.8,76.1962,32.6046,28.1
3/20/1998 1:03,3.8,76.3086,32.6531,14
4/5/1998 6:52,3.9,78.5958,31.2982,32
5/1/1998 11:57,4.2,79.6201,30.0916,35
5/18/1998 12:29,3.7,76.0623,33.3227,28
5/28/1998 0:16,3.7,76.8998,28.901,13.9
6/6/1998 17:08,3.7,77.3994,31.6447,4.7
6/26/1998 20:47,3.6,77.9499,33.0379,50.7
10/17/1998 9:24,4.3,76.4111,32.3471,14.1
11/19/1998 12:41,3.9,79.2302,30.3768,24
11/19/1998 16:34,4.4,79.2304,30.4126,24.5
2/25/1999 11:13,3.9,78.7915,30.5158,24
3/22/1999 9:55,4,76.7427,28.8896,30.6
3/28/1999 19:05,6.5,79.3354,30.3635,23.8
3/30/1999 15:51,4,79.4638,30.3725,14.2
4/1/1999 2:48,4.2,79.3708,30.4504,54.1
4/6/1999 19:37,5.1,79.2959,30.2837,22.2
4/12/1999 14:11,3.7,79.2545,30.4016,16.2
4/14/1999 17:24,4.9,79.3203,30.2554,23.1
4/18/1999 17:16,4.8,79.3221,30.2478,26.2
5/7/1999 17:12,4.2,79.4195,30.3805,10
5/14/1999 8:31,3.7,79.2726,30.2368,10
5/16/1999 5:41,4.4,78.4951,32.5488,9.4
6/13/1999 13:40,3.8,78.687,30.6569,28
6/30/1999 11:22,4.2,80.0173,34.5825,28
